"ITEMCODE","LOCATIONKEY","QUANTITYONHAND","QUANTITYBACKORDERED","QUANTITYRESERVED","QUANTITYINTRANSIT","BINLOCATION"
"10-HS22-GY-100","03","0","0","0","0",""
"0-07-011276-2xx","00","0","0","0","0","RP"
"0-07-011276-2xx","01","0","0","0","0",""
"0-07-011276-2xx","02","0","0","0","0",""
"0-07-011276-2xx","03","0","0","0","0",""
"NET-SWITCH-5P","02","0","0","0","0",""
"NET-SWITCH-5P","03","0","0","0","0",""
"RLB1014-104KL-2","02","24","0","0","0","RX"
"FLK-279FC","03","0","0","0","0",""
"GC1615","03","0","0","0","0",""
"CFC-A72","03","0","0","0","0",""
"PLA17FLGR1","02","0","0","0","0",""
"MTP7205","02","0","0","0","0",""
"LS-00032","02","5","0","0","0","CC"
"6481","02","0","0","0","0",""
"AT925FM","03","0","0","0","0",""
"PL-PLUS-C","03","0","0","0","0",""
"PAC101","03","0","0","0","0",""
"1449328237","03","0","0","0","0",""
"SCNM9FF","03","0","0","0","0",""
"PLT-100062C","02","2","0","0","0","RI"
"PBPA19005BK2","02","4","0","0","0","RI"
"PBPA19001BK2","03","0","0","0","0",""
"NTE3061","03","0","0","0","0",""
"PBPA19003BK2","02","0","0","0","0","RI"
"SF-KIT-14265","02","0","0","0","0",""
"3M-8204","03","0","0","0","0",""
"K8023","03","0","0","0","0",""
"8472-450G","03","0","0","0","0",""
"843AR-140G","03","0","0","0","0",""
"CFB2309225HB","03","0","0","0","0",""
"NTE53006","02","0","0","0","0",""
"MRC2203-A","02","5","0","0","0","RI"
"SF-PRT-11980","03","0","0","0","0",""
"PCB-4X4","03","0","0","0","0",""
"105-122-50","03","0","0","0","0",""
"MXT106","02","0","0","0","0","RP"
"55-625D-6","03","0","0","0","0",""
"28-180-2","02","223","0","0","0","R"
"B1785","03","0","0","0","0",""
"34-159-100","02","1","0","0","0","RP"
"34-159-10","02","2","0","0","0","RP"
"SE-110060822","02","4","0","0","0","RX"
"34-157-10","02","0","0","0","0",""
"310-618RA","02","21","0","0","0","CC"
"NS-MUE","02","0","0","0","0",""
"CO220","03","0","0","0","0",""
"55-532UB-10","02","0","0","0","0",""
"74-6FG150MA-B","03","0","0","0","0",""
"76STC02T","03","0","0","0","0",""
"B-30-1000","03","0","0","0","0",""
"PTS-1-1/2-BK-75","02","0","0","0","0",""
"55-628-6","02","0","0","0","0",""
"DVIDDMM15","02","1","0","0","0","RP"
"MXT100FF","03","0","0","0","0",""
"FM2032-51","03","0","0","0","0",""
"MXT100FF","02","41","0","0","0","RP"
"NTE2377","02","0","0","0","0",""
"PAC100","03","0","0","0","0",""
"1119412005","03","0","0","0","0",""
"1119412005","02","0","0","0","0",""
"WT1011HN","02","0","0","0","0",""
"WSP80N","02","0","0","0","0",""
"PV-217","03","0","0","0","0",""
"CC-130","03","0","0","0","0",""
"PLT-100062C","03","0","0","0","0",""
"PLT-100061C","02","0","0","0","0","RI"
"PLT-100028C","02","3","0","0","0","RI"
"CT600A","02","0","0","0","0","R"
"JIM-NEW-ELE504","02","0","0","0","0",""
"SF-KIT-15267","02","1","0","0","0","R"
"1671A","02","0","0","0","0",""
"8310A-55ML","02","3","0","0","0","RP"
"T0051384099","02","0","0","0","0",""
"B-30-1000","02","0","0","0","0",""
"CFB2308025HB","03","0","0","0","0",""
"WS4916","03","0","0","0","0",""
"ABS17BK1","03","0","0","0","0",""
"272DX","03","0","0","0","0",""
"FLK-T6-1000PRO","02","0","0","0","0",""
"272DX","02","0","0","0","0","RI"
"4902P-15G","03","0","0","0","0",""
"76STC02T","02","0","0","0","0",""
"STEM-01","02","0","0","0","0",""
"LS-00041","02","0","0","0","0",""
"RIMWACC","02","0","0","0","0",""
"LS-00040","02","4","0","0","0","CC"
"LS-00039","02","7","0","0","0","CC"
"LS-00038","02","7","0","0","0","CC"
"LS-00029","02","5","0","0","0","CC"
"LS-00027","02","13","0","0","0","CC"
"LS-00028","02","0","3","0","0","CC"
"LS-00026","02","25","0","0","0","CC"
"LS-00025","02","22","0","0","0","CC"
"LS-00024","02","20","0","0","0","CC"
"LS-00023","02","5","0","0","0","CC"
"LS-00022","02","7","0","0","0","CC"
"LS-00021","02","9","0","0","0","CC"
"812AS-10","02","2","0","0","0","RI"
"AI-CP2L","02","1","0","0","0","RP"
"DB9WACC","02","0","0","0","0",""
"WT1012N","02","0","0","0","0",""
"28-180-3","02","431","0","0","0","R"
"DB6WACC","02","0","0","0","0",""
"DB8WACC","02","0","0","0","0",""
"DC25WRIM","02","0","0","0","0",""
"MXT106","03","0","0","0","0",""
"CM-7002","03","0","0","0","0",""
"CM-7002","02","0","0","0","0",""
"NTE53010","03","0","0","0","0",""
"AF-3333","02","0","0","0","0",""
"AT925FM","02","0","0","0","0",""
"0-9681610-0-6","00","0","0","0","0","RP"
"0-9681610-0-6","01","0","0","0","0","RP"
"0-9681610-0-6","02","0","0","0","0",""
"0-9681610-0-6","03","0","0","0","0",""
"T0053380270N","02","0","0","0","0",""
"T0053380270N","03","0","0","0","0",""
"T0058744846N","02","1","0","0","0","RI"
"T0058744846N","03","0","0","0","0",""
"100-6854","02","0","0","0","0",""
"2WBAL-01","07","0","0","0","0",""
"T0054443799","02","0","0","0","0",""
"N3-06","03","0","0","0","0",""
"CKR-262","02","1","0","1","0",""
"014250","02","0","0","0","0",""
"0153-02C","01","0","0","0","0",""
"0153-02C","02","0","0","0","0",""
"0153-02C","03","0","0","0","0",""
"0153-03C","01","0","0","0","0",""
"0153-03C","02","0","0","0","0",""
"0153-03C","03","0","0","0","0",""
"0153-04C","02","0","0","0","0",""
"0153-04C","03","0","0","0","0",""
"0153-11C","01","0","0","0","0",""
"0153-11C","02","0","0","0","0",""
"0153-11C","03","0","0","0","0",""
"0153-15C","01","0","0","0","0",""
"0153-15C","02","0","0","0","0",""
"0153-15C","03","0","0","0","0",""
"0153-21C","01","0","0","0","0",""
"0153-21C","02","0","0","0","0",""
"0153-21C","03","0","0","0","0",""
"0153-22C","01","0","0","0","0",""
"0153-22C","02","0","0","0","0",""
"0153-22C","03","0","0","0","0",""
"0153-25C","01","0","0","0","0",""
"0153-25C","02","0","0","0","0",""
"0153-25C","03","0","0","0","0",""
"0153-26C","01","0","0","0","0",""
"0153-26C","02","0","0","0","0",""
"0153-26C","03","0","0","0","0",""
"0153-28C","01","0","0","0","0",""
"0153-28C","02","0","0","0","0",""
"0153-28C","03","0","0","0","0",""
"0153-31C","01","0","0","0","0",""
"0153-31C","02","0","0","0","0",""
"0153-31C","03","0","0","0","0",""
"0153-32C","01","0","0","0","0",""
"0153-32C","02","0","0","0","0",""
"0153-32C","03","0","0","0","0",""
"0153-33C","01","0","0","0","0",""
"0153-33C","02","0","0","0","0",""
"0153-33C","03","0","0","0","0",""
"0153-34C","01","0","0","0","0",""
"0153-34C","02","0","0","0","0",""
"0153-34C","03","0","0","0","0",""
"0153-42C","01","0","0","0","0",""
"0153-42C","02","0","0","0","0",""
"0153-42C","03","0","0","0","0",""
"0153-43C","01","0","0","0","0",""
"0153-43C","02","0","0","0","0",""
"0153-43C","03","0","0","0","0",""
"0155-25A","01","0","0","0","0",""
"0155-25A","02","0","0","0","0",""
"0155-25A","03","0","0","0","0",""
"0159-23","02","0","0","0","0",""
"0159-23","03","0","0","0","0",""
"0159-24","02","0","0","0","0",""
"0159-29","02","0","0","0","0",""
"0159-34","02","0","0","0","0",""
"0159-36","02","0","0","0","0",""
"0159-36","03","0","0","0","0",""
"01762-07C","02","0","0","0","0",""
"01762-07C","03","0","0","0","0",""
"02-N502-1","02","11","0","0","0","RP"
"02-N502-1","03","0","0","0","0",""
"02-P220-1","02","0","0","0","0",""
"02-P220-1","03","0","0","0","0",""
"02127","00","0","0","0","0","RP"
"02127","01","0","0","0","0",""
"02127","02","0","0","0","0",""
"02127","03","0","0","0","0",""
"0253-06NH-6","01","0","0","0","0",""
"0253-06NH-6","02","0","0","0","0",""
"0253-06NH-6","03","0","0","0","0",""
"0253-11C","02","0","0","0","0",""
"0253-11C","03","0","0","0","0",""
"0253-12C","01","0","0","0","0",""
"0253-12C","02","0","0","0","0",""
"0253-12C","03","0","0","0","0",""
"0253-13C","01","0","0","0","0",""
"0253-13C","02","0","0","0","0",""
"0253-13C","03","0","0","0","0",""
"0253-15C","01","0","0","0","0",""
"0253-15C","02","0","0","0","0",""
"0253-15C","03","0","0","0","0",""
"0253-16C","01","0","0","0","0",""
"0253-16C","02","0","0","0","0",""
"0253-16C","03","0","0","0","0",""
"0254-11","01","0","0","0","0",""
"0254-11","02","0","0","0","0",""
"0254-11","03","0","0","0","0",""
"03-89-1006","01","0","0","0","0",""
"03-89-1006","02","2","0","0","0",""
"03-89-1006","03","0","0","0","0",""
"03450601H","01","0","0","0","0",""
"03450601H","02","0","0","0","0",""
"03450601H","03","0","0","0","0",""
"03540601ZXGY","01","0","0","0","0","RP"
"03540601ZXGY","02","0","0","0","0",""
"03540601ZXGY","03","0","0","0","0",""
"38002-1288","02","0","0","0","0","RI"
"38002-1288","03","0","0","0","0",""
"0380021290","02","2","0","0","0","RI"
"0380021290","03","0","0","0","0",""
"041250","02","0","0","0","0",""
"041250","03","0","0","0","0",""
"0453-14C","01","0","0","0","0",""
"0453-14C","02","0","0","0","0",""
"0453-14C","03","0","0","0","0",""
"0453-17C","01","0","0","0","0",""
"0453-17C","02","0","0","0","0",""
"0453-17C","03","0","0","0","0",""
"0453-18C","01","0","0","0","0",""
"0453-18C","02","0","0","0","0",""
"0453-18C","03","0","0","0","0",""
"065-7341A","01","0","0","0","0","RP"
"065-7341A","02","0","0","0","0",""
"065-7341A","03","0","0","0","0",""
"0652-11","01","0","0","0","0",""
"0652-11","02","0","0","0","0",""
"0652-11","03","0","0","0","0",""
"0700-W","02","3","0","0","0","RI"
"0700-W","03","0","0","0","0",""
"0703-W","02","0","0","0","0",""
"0703-W","03","0","0","0","0",""
"07051-4","01","0","0","0","0","RI"
"07051-4","02","0","0","0","0",""
"07051-4","03","0","0","0","0",""
"07061-3","01","0","0","0","0","RI"
"07061-3","02","0","0","0","0",""
"07061-3","03","0","0","0","0",""
"07062","01","0","0","0","0","RI"
"07062","02","0","0","0","0",""
"07062","03","0","0","0","0",""
"07221-1","01","0","0","0","0",""
"07221-1","02","0","0","0","0",""
"07221-1","03","0","0","0","0",""
"07461-1","01","0","0","0","0","RI"
"07461-1","02","0","0","0","0",""
"07461-1","03","0","0","0","0",""
"0762-USB","01","0","0","0","0",""
"0762-USB","02","0","0","0","0",""
"0762-USB","03","0","0","0","0",""
"0789","01","0","0","0","0","RP"
"0789","02","0","0","0","0",""
"0789","03","0","0","0","0",""
"08-00-00XXXX","00","0","0","0","0","RP"
"08-00-00XXXX","01","0","0","0","0",""
"08-00-00XXXX","02","0","0","0","0",""
"08-00-00XXXX","03","0","0","0","0",""
"56-575-1","00","0","0","0","0","RP"
"56-575-1","01","0","0","0","0","RI"
"56-575-1","02","0","0","0","0",""
"56-575-1","03","0","0","0","0",""
"08-605-P","01","0","0","0","0","RI"
"08-605-P","02","0","0","0","0",""
"08-605-P","03","0","0","0","0",""
"AE-800-36","03","0","0","0","0",""
"351-176","03","0","0","0","0",""
"3M-746","03","0","0","0","0",""
"9007A","03","0","0","0","0",""
"AC-FBA14","03","0","0","0","0",""
"AI-CPT1-N","03","0","0","0","0",""
"AI-ACS6","03","0","0","0","0",""
"AI-ACS8","03","0","0","0","0",""
"AC-ATT8-N","03","0","0","0","0",""
"AI-CTB12","03","0","0","0","0",""
"AC-ALT16","03","0","0","0","0",""
"AC-ALT12","03","0","0","0","0",""
"08-8030G-25","01","0","0","0","0","RI"
"08-8030G-25","02","0","0","0","0",""
"08-8030G-25","03","0","0","0","0",""
"08-8030S-25","01","0","0","0","0","RI"
"08-8030S-25","02","0","0","0","0",""
"08-8030S-25","03","0","0","0","0",""
"08-8130G-25","01","0","0","0","0","RI"
"08-8130G-25","02","0","0","0","0",""
"08-8130G-25","03","0","0","0","0",""
"412400","03","0","0","0","0",""
"407910","03","0","0","0","0",""
"407790A","03","0","0","0","0",""
"08-8140G-25","01","0","0","0","0","RI"
"08-8140G-25","02","0","0","0","0",""
"08-8140G-25","03","0","0","0","0",""
"08097","00","0","0","0","0",""
"08097","01","0","0","0","0","RI"
"08097","02","0","0","0","0",""
"08097","03","0","0","0","0",""
"09-0340-1","01","0","0","0","0","RI"
"09-0340-1","02","0","0","0","0",""
"09-0340-1","03","0","0","0","0",""
"84-145-1","01","0","0","0","0","RI"
"84-145-1","02","3","0","0","0","RP"
"84-145-1","03","0","0","0","0",""
"0930","01","0","0","0","0","RP"
"0930","02","0","0","0","0",""
"0930","03","0","0","0","0",""
"0955F","02","0","0","0","0",""
"0955F","03","0","0","0","0",""
"TC-100D3","00","0","0","0","0","RP"
"TC-100D3","01","0","0","0","0","RI"
"TC-100D3","02","0","0","0","0",""
"TC-100D3","03","0","0","0","0",""
"1-480318-0","02","0","0","0","0",""
"1-480318-0","03","0","0","0","0",""
"1-480319-0","02","0","0","0","0",""
"1-480319-0","03","0","0","0","0",""
"1-534206-4","01","0","0","0","0","RI"
"1-534206-4","02","0","0","0","0",""
"1-534206-4","03","0","0","0","0",""
"1-5905937-31","01","0","0","0","0",""
"1-5905937-31","02","0","0","0","0",""
"1-5905937-31","03","0","0","0","0",""
"1-745968-6","02","0","0","0","0",""
"1-87523-6","02","0","0","0","0",""
"1-87523-6","03","0","0","0","0",""
"1-893115-44-5","01","0","0","0","0",""
"1-893115-44-5","02","0","0","0","0",""
"1-893115-44-5","03","0","0","0","0",""
"PTS-1-1/2-OR-1F","02","0","0","0","0",""
"DB8WACC","03","0","0","0","0",""
"10-HS22K6-25","05","0","0","0","0",""
"CO220","02","0","0","0","0",""
"1.4MHDXXXX","00","0","0","0","0",""
"1.4MHDXXXX","01","0","0","0","0",""
"1.4MHDXXXX","02","0","0","0","0",""
"1.4MHDXXXX","03","0","0","0","0",""
"1.5KE200A","02","595","0","0","0","RI"
"1.5KE200A","03","0","0","0","0",""
"10-105","01","0","0","0","0",""
"10-105","02","0","0","0","0",""
"10-105","03","0","0","0","0",""
"10-119","01","0","0","0","0","RI"
"10-119","02","0","0","0","0",""
"10-119","03","0","0","0","0",""
"10-1206","01","0","0","0","0","RI"
"10-1206","02","0","0","0","0",""
"10-1206","03","0","0","0","0",""
"10-150","00","0","0","0","0","RP"
"10-150","01","0","0","0","0",""
"10-150","02","0","0","0","0",""
"10-150","03","0","0","0","0",""
"10-162","02","0","0","0","0",""
"10-162","03","0","0","0","0",""
"10-3702","00","0","0","0","0","RP"
"10-3702","01","0","0","0","0","RP"
"10-3702","02","0","0","0","0",""
"10-3702","03","0","0","0","0",""
"10-4102","01","0","0","0","0","RP"
"10-4102","02","0","0","0","0",""
"10-4102","03","0","0","0","0",""
"10-459","02","0","0","0","0",""
"10-5002","01","0","0","0","0",""
"10-5002","02","0","0","0","0",""
"10-5002","03","0","0","0","0",""
"10-78-3.5MM","01","0","0","0","0","RI"
"10-78-3.5MM","02","0","0","0","0",""
"10-78-3.5MM","03","0","0","0","0",""
"10-78-RCA","01","0","0","0","0","RI"
"10-78-RCA","02","0","0","0","0",""
"10-78-RCA","03","0","0","0","0",""
"10-8101","00","0","0","0","0","RP"
"10-8101","01","0","0","0","0","RI"
"10-8101","02","5","0","0","0","R"
"10-8101","03","0","0","0","0",""
"10-8108","00","0","0","0","0","RP"
"10-8108","01","0","0","0","0","RI"
"10-8108","02","3","0","0","0","RP"
"10-8108","03","0","0","0","0",""
"10-8109","00","0","0","0","0","RP"
"10-8109","01","0","0","0","0","RP"
"10-8109","02","0","0","0","0","RP"
"10-8109","03","0","0","0","0",""
"10-8880","00","0","0","0","0","RP"
"10-8880","01","0","0","0","0",""
"10-8880","02","3","0","0","0","R"
"10-8880","03","0","0","0","0",""
"10-9002-A","01","0","0","0","0","RP"
"10-9002-A","02","0","0","0","0","RP"
"10-9002-A","03","0","0","0","0",""
"10-9410","00","0","0","0","0","RP"
"10-9410","01","0","0","0","0","RP"
"10-9410","02","0","0","0","0",""
"10-9410","03","0","0","0","0",""
"10-950BK","02","0","0","0","0",""
"10-985XXX","00","0","0","0","0","RP"
"10-985XXX","01","0","0","0","0","RP"
"10-985XXX","02","0","0","0","0",""
"10-985XXX","03","0","0","0","0",""
"10-GOC","02","0","0","0","0",""
"10-HS22-BK-25","02","68","0","0","0","CC"
"10-HS22-BK-25","03","0","0","0","0",""
"10-HS22-BL-25","02","13","0","0","0","CC"
"10-HS22-BL-25","03","0","0","0","0",""
"10-HS22-GN-25","02","16","0","0","0","CC"
